,Movie,Rating,Released,Director,Writer1,Writer2,Star1,Star2,MovieRating,RunTime,Synopsis,PopularityScore
60,Cannibals in the Streets,5.5,1980,Antonio Margheriti,Dardano Sacchetti,Antonio Margheriti,John Saxon,Elizabeth Turner,R,1h 36m,"In the Vietnam War, Captain Norman Hopper and his platoon attack a Vietnamese base and rescue two American soldiers in a cage. Charlie Bukowski and Tom Thompson are eating human flesh, and when Norman gives his hand to take them out of the cage, Bukowski bites him. In the present days (1980), Norman has sequels from the bite such as nightmares, and his wife, the television anchor Jane Hopper, is worried about his health and mental conditions. Out of the blue, he receives a phone call from Bukowski that is interned in a mental institution with Tom, inviting him to drink with him in a bar since he is better and has obtained his first release from the hospital since the war. Norman refuses and stays home, but his teenage next door neighbor Mary hits on him and he feels desire to bite her belly. Meanwhile, Bukowski bites a woman in the movie theater and a police officer, in the beginning of a cannibalism spree in Atlanta. —Claudio Carvalho, Rio de Janeiro, Brazil",
61,Night of the Demon,4.7,1980,James C. Wasson,Mike Williams,Jim L. Ball,Michael Cutt,Joy Allen,Not Rated,1h 36m,"Professor Nugent and his students embark on a journey to locate Bigfoot believed to be responsible for countless deaths. They disturb a Black Magic ritual and eventually uncover the truth about Bigfoot, and his offspring, but who will believe them? —Mark J. Popp <poppmj@cadvision.com>",
62,Cocaine Shark,1.8,2023,Mark Polonia,Bando Glutz,,Titus Himmelberger,Ken Van Sant,Unrated,1h 16m,"A mafia drug lord has unleashed a new, highly addictive stimulant on the streets called HT25, derived from sharks held captive in a secret lab, which causes monstrous side effects. After an explosion and leak at the lab, an army of mutated, bloodthirsty sharks and other creatures are set loose on the world as a small band of people try to stop the carnage. —Rob Hauschild",
63,White Dog,7,1982,Samuel Fuller,Romain Gary,Samuel Fuller,Kristy McNichol,Christa Lang,PG,1h 30m,"Deprogramming a dog who kills Blacks is the ultimate challenge for an unorthodox African-American trainer. When a young Hollywood actress finds the injured stray, she nurses it back to health, not knowing it's a ""White Dog"" trained by a racist to attack only Blacks. Julie's appalled when the otherwise gentle, white German Shepherd breaks out, then returns from his nighttime foray dotted with human blood. Julie desperately races from trainer to trainer, advised to kill her pet, until the top Hollywood canine expert refers her to his former protégé, Keys. —David Stevens",
64,Blood Feast,5,1963,Herschell Gordon Lewis,Louise Downe,David F. Friedman,William Kerwin,Mal Arnold,Not Rated,1h 7m,"An Egyptian caterer busies himself collecting body parts from young maidens to bring Ishtar, an ancient goddess of good and evil, back to life. When he has prepared enough parts for the ceremony, he hypnotizes a woman giving an engagement party for her daughter, at which he plans to perform the ancient rites of summons, using the daughter as his final sacrifice. —Ed Sutton <esutton@mindspring.com>",
65,Warlock: The Armageddon,5.4,1993,Anthony Hickox,Kevin Rock,Sam Bernard,Julian Sands,Chris Young,R,1h 38m,"Every six hundred years, a great evil has the opportunity to escape and unleash Armageddon. A group of five stones has the power to either free the evil, or banish it for another six hundred years. An order of Druids battles with a Warlock determined to unleash his father upon the world. —Murray Chapman <muzzle@cs.uq.oz.au>",
66,The Illustrated Man,5.8,1969,Jack Smight,Ray Bradbury,Howard B. Kreitsek,Rod Steiger,Claire Bloom,M/PG,1h 43m,"The Illustrated Man is classic Bradbury, a collection of eighteen startling visions of humankind's destiny, unfolding across a canvas of decorated skin, visions as keen as the tattooist's needle and as colorful as the inks that indelibly stain the body. The images, ideas, sounds and scents that abound in this phantasmagoric sideshow are provocative and powerful: the mournful cries of celestial travelers cast out cruelly into a vast space of stars and blackness, the sight of gray dust settling over a forgotten outpost on a road that leads nowhere, the pungent odor of Jupiter on a returning father's clothing. Here living cities take their vengeance, technology awakens the most primal natural instincts, Martian invasions are foiled by the good life and the glad hand, and dreams are carried aloft in junkyard rockets. —Stig Ohara",
67,Final Exam,4.6,1981,Jimmy Huston,Jimmy Huston,,Cecile Bagdadi,Joel S. Rice,R,1h 29m,"In a small college in North Carolina, only a select few students are left to take mid terms. But, when a killer strikes, it could be everyone's final exam. —Greg Duryea <gduryea@atlantic.net>",
68,The Maze,3.8,2010,Stephen Shimek,Katy Baldwin,Timothy Gutierrez,Seven Castle,Brandon Sean Pearson,R,1h 26m,"Five friends break into a closed corn maze in the middle of the night and decide to play a harmless game of tag. Little do they know that a psychopathic killer has decided to play along. As they wander aimlessly through the maze the murderer follows closely behind, taunting them and watching their every move. The game turns deadly when the kids decide to separate and weaken their chances of survival. When the mutilated body of the maze owner is found they realize that something is terribly wrong. As they race to find the entrance of the maze, the murderer cleverly forces them to follow the path that he wants. Manipulating everyone to his vicious will, the killer taunts his victims and leads them further into the depths of the maze. After succumbing to hours of torture will anyone make it out of the maze...alive? —Ground Glass Entertainment",
69,Blood Rage,5.8,1987,John Grissmer,Bruce Rubin,,Louise Lasser,Mark Soper,R,1h 22m,"Twins Todd and Terry seem like sweet boys that is, until one of them takes an axe to face of a fellow patron at the local drive-in. Todd is blamed for the bloody crime and institutionalized, whilst twin brother Terry goes free. Ten years later and, as the family gathers around the table for a Thanksgiving meal, the news comes in that Todd has escaped. But has the real killer in fact been in their midst all along? One thing's for sure, there will be blood and rage! —Anonymous",
70,Midnight,4.9,1982,John A. Russo,John A. Russo,,Melanie Verlin,Lawrence Tierney,R,1h 34m,"A teenage girl runs away from home because police officer/stepfather puts the moves on her. Hitchhiking to California, she's picked up by two guys who are also traveling cross-country. Along the way, they decide to camp out in the woods and run across a family of Satanists who keep their dead mother in the attic. —Humberto Amador",
71,The Haunting of Molly Hartley,3.9,2008,Mickey Liddell,John Travis,Rebecca Sonnenshine,Haley Bennett,Chace Crawford,PG-13,1h 25m,"Molly Hartley looks to put her troubled past behind her with a fresh start at a new school, where she sparks with one of the most popular students. But can her secrets stay buried, especially as she learns more about the horrific truth that awaits her once she turns 18? —IMDb Editors",
72,Contamination,5.1,1980,Luigi Cozzi,Luigi Cozzi,Erich Tomek,Ian McCulloch,Louise Marleau,R,1h 35m,"A ship pulls into New York Harbor with no one on board. The police find a cargo full of green pulsating eggs. Upon contact, the eggs explode spreading a green acid like substance that seeps into the skin and explodes. It is later discovered that the eggs are being manufactured in South America by a one-eyed Martian that grew from a tiny seed a former astronaut brought back from a expedition to Mars. —Humberto Amador",
73,The House in Nightmare Park,5.7,1973,Peter Sykes,Clive Exton,Terry Nation,Frankie Howerd,Ray Milland,PG,1h 35m,"In 1907, an actor is invited to perform in an isolated country house, and becomes involved in mysterious and dangerous events.",
74,Shark Attack 3: Megalodon,2.9,2002,David Worth,Scott Devine,William Hooke,John Barrowman,Jenny McShane,R,1h 39m,"24 million years ago, the gigantic Megalodon, a 20-tonne killing machine with a 10-foot gaping bite, ruled the prehistoric oceans; but, thankfully, it became extinct. However, when the marine biologist, Cat Stone, discovers a massive shark tooth off the Mexican coast, her worst fears surface--the most menacing creature to ever rule the waters is still alive and mercilessly feeding on anything that crosses its path. Now, as the massive beast terrorises the workers during the maintenance on an underwater cable, they must hunt the fierce oceanic killer and destroy it, before there is no one left to stop it. Is there an escape from the jaws of terror? —Nick Riganas",
75,Spiders,3.4,2013,Tibor Takács,Joseph Farruggia,Tibor Takács,William Hope,Shelly Varod,PG-13,1h 29m,"When a meteor shower hits an old Soviet space station in the orbit of Earth, parts and debris crash into the New York subway tunnel near the Noble Street Station. The traffic controller Jason sends his colleague Jimmy to inspect the damage but soon he is found dead. The doctor finds a bite on his leg and eggs inside his body, and Jason takes one of them to ask his wife Rachel to test in the laboratory where she works. When he goes with the subway security team to the location where Jimmy was found, they discover a nest of strong and carnivorous spiders. Meanwhile Col. Jenkins and the Russian scientist Dr. Darnoff discuss the special breed of spiders genetically developed in the space with zero gravity that would build a powerful nest that would be used in military purpose. Further, they need the queen's egg that Jason gave to his wife. Then and he lies to the population telling that there is a deadly virus in the neighborhood where Jimmy was found and they hunt Jason and his family. When they recover the egg, Col. Jenkins put it in the nest to raise the queen and decides to execute everyone that is aware of the spiders. Will he succeed in his plan? —Claudio Carvalho, Rio de Janeiro, Brazil",
76,6-Headed Shark Attack,2.8,2018,Mark Atkins,Koichi Petetsky,Mark Atkins,Brandon Auret,Thandi Sebe,TV-14,1h 26m,"Hungry for the succulent human flesh, and with one head more than the already horrific underwater killer in the 5 Headed Shark Attack (2017), a monstrous, starfish-shaped, six-headed great white shark is now patrolling the waters of remote Isla Corazon, off the coast of Mexico. There, William's supposedly serene couples retreat is under attack, as the evolved aquatic predator spreads terror in unexpected places, devouring the utterly unprepared visitors one by one. But, who's behind the mutated eating machine? Will the nightmare ever cease? —Nick Riganas",
77,Mosquito,4.9,1994,Gary Jones,Tom Chaney,Steve Hodge,Gunnar Hansen,Ron Asheton,R,1h 32m,"An alien pod crash lands in the swamps, after which the local mosquitoes begin feeding on the alien corpses. This causes the mosquitoes to grow to massive sizes and develop an unquenchable hunger for blood. A mass swarm of these mutant insects attacks a Michigan national park in a brutal onslaught that kills the entire tourist population. The few unrelated survivors - two lovers, a meteorologist, a punk rock musician, and a gang of dangerous bank robbers on the run from police - must settle their differences and band together before nightfall, when the nocturnal mosquito swarm will return for more blood. —Tyler Wright",
78,Carnosaur,3.6,1993,Adam Simon,John Brosnan,Adam Simon,Diane Ladd,Raphael Sbarge,R,1h 23m,"A brilliant geneticist, Diane Ladd, plans to expose a lethal virus to every human being on the planet. Her objective: to destroy humankind in favour of her new strain of prehistoric dinosaurs. Two people stand in the way of her diabolical plan, a cynical night watchman and a lovely idealistic environmentalist. The two must overcome their differences long enough to uncover the scientist's scheme and fight her carnivorous creations in a desperate battle against the extinction of the human race. —Concorde - New Horizons (with permission).",
79,Sorority Babes in the Slimeball Bowl-O-Rama 2,3.3,2022,Brinke Stevens,Sergei Hasenecz,Kent Roudebush,Kelli Maroney,Michelle Bauer,,1h 20m,"The babes are back. And so is everyone's favorite wish-grantin', murder-lovin' mischievous gremlin, the Imp. The Pi-Ep sorority house has seen better days, but the girls are intent on gaining some new recruits. With housemother Auntie Snake as their guide, the naughty hi-jinks and hilarity begin. Meanwhile, though, the Bowl-O-Rama bowling alley has had a break-in, and a breakout. With the escape of the magical and murderous Imp, it's a fight for survival, with only one mysterious girl holding the answers to the riddle of the Imp's wish.",
80,Devil Fish,2.8,1984,Lamberto Bava,Lamberto Bava,Gianfranco Clerici,Michael Sopkiw,Valentine Monnier,Not Rated,1h 34m,"Gruesome findings in the middle of the ocean and mysterious occurrences off the Florida Coast terrify the locals, forcing Sheriff Gordon and marine biologists, Dr Stella Dickens and Dr Bob Hogan, to investigate. More and more, as the news spreads like wildfire, the two scientists find evidence of a terrible underwater monstrosity that is devouring unsuspecting fishermen and swimmers alike, and that somehow, the West Ocean Institute has something to do with the rogue beast that roams the seabed. But, what kind of aquatic, man-eating terror stains the waters red? —Nick Riganas",
81,Rats: Night of Terror,4.7,1984,Bruno Mattei,Rossella Drudi,Claudio Fragasso,Ottaviano Dell'Acqua,Geretta Geretta,Unrated,1h 37m,"Two hundred and fifteen years after a nuclear war has devastated the planet, society has been reborn into two factions; the underground society and the scavangers above in the wastelands. A group of scavangers on bikes come across a town infested with flesh eating rats, and soon the gore is spilling everywhere. —Humberto Amador",
82,The Wizard of Gore,5.2,1970,Herschell Gordon Lewis,Allen Kahn,,Ray Sager,Judy Cler,Not Rated,1h 35m,"A magician performs a show where he selects a female volunteer and appears to put swords, drills, and such through them. They walk away and everyone applauds, then they show up somewhere else, dead of the same injuries they sustained in the magic show. Police are baffled and can't tie the murders to the magician. A man whose girlfriend is infatuated with the show begins to investigate on his own. —Ed Sutton <esutton@mindspring.com>",
83,The Epidemic,6,2024,Nigel Hartwell,Manton Harding,Nigel Hartwell,Eric Roberts,Chris Owen,,1h 35m,"After a meteor crashes into the Earth's crust causing extreme devastation, an unexplained plague decimates a town's population turning people into zombies. The town's few survivors seek refuge where they can make a final stand for survival.",
84,The Legend of the 7 Golden Vampires,5.8,1974,Roy Ward Baker,Don Houghton,Bram Stoker,Peter Cushing,David Da-Wei Chiang,R,1h 29m,"Count Dracula journeys to a remote Chinese village in the form of a monk to command six vampires who have lost the seventh member of their cult. At the same time, vampire hunter Professor Lawrence Van Helsing happens to be lecturing in the country and is persuaded by villagers to help them fight this curse of the ages. —Jeremy Perkins {J-26}",
85,The Crawlers,2.9,1990,Fabrizio Laurenti,Daniele Stroppa,Albert Lawrence,Mary Sellers,Jason Saucier,R,1h 31m,Evil nuclear power plant manager is dumping nuclear waste in a forest. People start getting killed. Drunken PhD in power plant starts tracking radiation in the forest. More people killed. Newspaper reporter and local boy and girl start investigating. Still more people killed. Townspeople try to remove nuclear waste. Yet more people killed. EPA cleans up the mess with bulldozers. —Ira Kroll <ira_kroll@Mac.lover.org>,
86,Monster on the Campus,5.8,1958,Jack Arnold,David Duncan,,Arthur Franz,Joanna Moore,Approved,1h 17m,"A college professor acquires a newly discovered specimen of a prehistoric fish. While examining the find he is accidentally exposed to it's blood, turning him into a murderous Neanderthal. —Jeremy Lunt <durlinlunt@acadia.net>",
87,Robert,3,2015,Andrew Jones,Andrew Jones,,Suzie Frances Garton,Lee Bane,Not Rated,1h 30m,"After Paul and Jenny part ways with their sinister housekeeper Agatha, the disgruntled former employee gives a vintage doll called Robert to their son Gene. Soon after Agatha's departure, strange events begin plaguing the household. Furniture is vandalized, objects are thrown around and maniacal giggles echo through the house in the middle of the night. But nobody believes Gene when he claims Robert is to blame for the disturbances. Paul and Jenny consider the possibility that a supernatural force has taken over their home. But as the occurrences escalate they discover that it's not the house that's haunted... it's the doll. —North Bank Entertainment",
88,Frightmare,4.6,1983,Norman Thaddeus Vane,Norman Thaddeus Vane,,Ferdy Mayne,Luca Bercovici,R,1h 26m,"Drama students decide to pay tribute to their favorite horror star by stealing his body from his crypt for a farewell party. They fail to realize their violation of the tomb has triggered powerful black magic, and Conrad hasn't taken his final bows yet. —Sister Grimm <srgrimm@teleport.com>",
89,Sharkula,2,2022,Mark Polonia,Mark Polonia,,James Kelly,Tim Hatch,,1h 11m,"The curse of Count Dracula lives on in shark infested waters, claiming the lives of a tourist community. A sea hunt for the new species results in monsters, madness and bloodshed. This great white is putting the bite back into terror, and it has help with the aid of new vampires intent on seeing it survive.",
90,Mutant,5.1,1984,John 'Bud' Cardos,Michael Jones,John C. Kruize,Wings Hauser,Bo Hopkins,R,1h 39m,"When two brothers, Josh and Mike, go to a small southern town for a vacation, they find most of the residents either dead or missing. When Mike himself goes missing, Josh teams up with the local sheriff and an attractive school teacher to find him until Josh discovers that the whole town and most of its people have been infected by a form of toxic waste, and they have all turned into toxic vampires whom prowl the streets at night for human blood! —Anonymous",
91,Bigfoot,2.5,2012,Bruce Davison,Brian Brinkman,Micho Rutare,Danny Bonaduce,Barry Williams,TV-14,1h 29m,Two former musicians face off in the hunt for the legendary mountain creature.,
92,Scary Movie,4.9,1991,Daniel Erickson,Daniel Erickson,David Lane Smith,John Hawkes,Suzanne Aldrich,Not Rated,1h 22m,"A paranoid teenage nerd comes to believe that an escaped lunatic may be hiding in the neighborhood Halloween house of horrors, and slowly starts to descend into madness.",
93,Cabin 28,3.3,2017,Andrew Jones,John Klyza,,Terri Dwyer,Derek Nelson,Not Rated,1h 23m,"Suspense and screams abound in this shocking true story based on the most infamous unsolved murder case in American history. On April 11th 1981, Sue Sharp and her family are enjoying their stay at Cabin 28 in the peaceful holiday resort of Keddie. But a day of fun at the remote getaway turns into a heart stopping nightmare as nightfall brings masked strangers to the Cabin. A brutal battle for survival leaves several members of the family dead and one missing. An extensive Police investigation follows but no one is convicted of the crime. Now, over thirty years later, Cabin 28 finally gives up its deadly secret. —North Bank Entertainment",
94,Birdemic 2: The Resurrection,1.5,2013,James Nguyen,James Nguyen,,Alan Bagh,Whitney Moore,Not Rated,1h 22m,"Following the events of Birdemic: Shock and Terror (2010), the sequel picks up where the first movie left off, and the birds and eagles are at it again. The attacks are greater this time, and there are even more threats around the corner: cavemen and zombies join the shock and terror in Birdemic 2. —Johnny",
95,Reptilicus,3.6,1961,Poul Bang,Sidney W. Pink,Ib Melchior,Bent Mejding,Asbjørn Andersen,Approved,1h 22m,"A portion of the tail of a giant prehistoric reptile is discovered in Denmark. It regenerates into the entire reptile, which proceeds to both destroy buildings and property and generally make a nuisance of itself. It can fly, swim and walk and has impenetrable scales, which makes it difficult to kill. —Paul White <pwhite@bigfoot.com>",
96,Modern Vampires,4.6,1998,Richard Elfman,Matthew Bright,,Casper Van Dien,Natasha Gregson Wagner,R,1h 35m,"Count Dracula is in L.A., running a hideous club scene, and he's angry that a rogue vampire, posing as a streetwalker, is slashing. He's also unhappy that Dallas, a youthful undead and former protégé, is in town. The rogue slasher, Nico, serendipitously picks Dallas as a victim; after discovering each other's nature, they become lovers. In fear of the Count, Dallas's coterie urges him to kill Nico, but he refuses. Meanwhile, a Viennese vampire hunter, Van Helsing, arrives in L.A. and hires the Crips to help him. They're soon following Nico and Dallas. When they capture her, Dallas wants to deal: spare Nico and he'll lead the hunters to Dracula. It's time for stake and bake. —<jhailey@hotmail.com>",
97,Night of the Ghouls,3.6,1959,Edward D. Wood Jr.,Edward D. Wood Jr.,,Kenne Duncan,Duke Moore,Approved,1h 9m,"Follow-up to Ed Wood's ""Plan 9 from Outer Space"" about the walking dead, It opens in a cemetery. Criswell, the ""real"" medium, rises from his coffin to tell us of ""monsters to be despised."" Dr. Acula (Kenne Duncan) is a phony medium aided by Valda Hansen, a bogus ghost, and big Tor Johnson, wearing rags and horrible scar makeup as Lobo. The doctor swindles people by pretending to contact dead relatives, but then accidentally succeeds in reviving a bunch of corpses that bury him alive! Sat unreleased for 23 years because Wood couldn't pay the lab bill! Followed by ""Sinister Urge"" in 1961 (Wood's last film). —alfiehitchie",
98,Hell's Trap,5.6,1989,Pedro Galindo III,Pedro Galindo III,Santiago Galindo,Pedro Fernández,Edith González,Unrated,1h 30m,"Seven young people go to a desolated forest looking for a bear. What they don't know is that a crazy Vietnam vet lives there and he is waiting for fresh blood. Soon, they are killed by stomach and throat slashing, an axe in the neck, an explosion inside a car, etc - Who will survive? —screamdudes",
99,Prom Night IV: Deliver Us from Evil,4.1,1991,Clay Borris,Richard Beattie,,Nicole de Boer,J.H. Wyman,R,1h 32m,"Carrying on the Prom Night tradition, this film begins back at Hamilton High School on Prom Night in 1957. As a young couple are enjoying a romantic moment together in the back seat of a car, they are interrupted by Father Jonas, a priest who slashes and immolates the lovers. Thirty years later, Jonas gets loose from the chapel basement where the church fathers had been secretly keeping him locked up and drugged. As luck would have it, it's prom night again, and group of four students have unfortunately chosen Jonas's hideout as their secluded getaway spot. —Jean-Marc Rocher <rocher@fiberbit.net>",
